Familia,Tipo,Orientaciones,Nums_pieza,Variantes
MA3060,Perfil/accesorio,DL DL/DR DR FL FL/FR FL/FR/DL/DR/FM FM FR,201 224 305 306 701,13
MA4080,Perfil/accesorio,DL DL/DR DR,,3
MB300,Modulo banda,DL DL/DR DR FL FL/FR FL/FR/DL/DR/FM FM FR,203 227 228 229 231 701 704,15
MB400,Modulo banda,DL DL/DR DR FL FL/FR FL/FR/DL/DR/FM FM FR,201 203 223 224 225 228 305 306 310 701,18
MB600,Modulo banda,DL DL/DR DR FL FL/FR FL/FR/DL/DR/FM FM FR,201 203 209 221 256 701,14
MB800,Modulo banda,DL DL/DR DR FL FL/FR FL/FR/DL/DR/FM FM FR,201 203 205 209 210 302 303 306 308 312 504 507 701,21
MT300,Transportador,FL FL/FR FL/FR/FM FM FR,001 05 201 203 302 303,14
MT400,Transportador,FL FL/FR FM FR,05 201 203 301 302 408,13
MT600,Transportador,DL DL/DR DR FL FL/FR FL/FR/DL/DR FM FR,01 201 203 301 303 304 305 701,16
MT800,Transportador,FL FL/FR FM FR,05 201 205 207 217 331 402 501 701,15
